article_include,human_judgment,short_explanation,rank,evidence_reason,base_id,noisy_id,category,dimension,manual_error_type,clean_prompt,noisy_prompt,gold,clean_prediction,noisy_prediction
yes,strong_failure,Routes multiply to add after messy pasted preamble.,19,"Clean succeeds, but the noisy prompt routes to a different function.",live_multiple_125-47-1,live_multiple_125-47-1__pasted_context_block,live_multiple,pasted_context_block,wrong_tool_routing,"You are an Generative AI functions agent which generates the output mentioning which function to be called from the given list. Strictly use the mentioned functions only to generate the output. You have access to below tools 
[{'name': 'multiply', 'description': 'multiply(a: int, b: int) -> int - Performs multiplication of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Multiplication of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'add', 'description': 'add(a: int, b: int) -> int - Addition of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Adds of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'sub', 'description': 'sub(a: int, b: int) -> int - Substracts two numbers.\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Substracts of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'fahrenheit_to_celsius', 'description': 'fahrenheit_to_celsius(fahrenheit: float) -> float - Convert temperature from Fahrenheit to Celsius.\n\n    Args:\n    fahrenheit (float): Temperature in Fahrenheit\n\n    Returns:\n    float: Temperature converted to Celsius', 'parameters': {'type': 'object', 'properties': {'fahrenheit': {'type': 'number'}}, 'required': ['fahrenheit']}}, {'name': 'celsius_to_fahrenheit', 'description': 'celsius_to_fahrenheit(celsius: float) -> float - Convert temperature from Celsius to Fahrenheit.\n\n    Args:\n    celsius (float): Temperature in Celsius\n\n    Returns:\n    float: Temperature converted to Fahrenheit', 'parameters': {'type': 'object', 'properties': {'celsius': {'type': 'number'}}, 'required': ['celsius']}}, {'name': 'duck_duck_go', 'description': 'A wrapper around Duck Duck Go Search. Useful for when you need to answer questions about current events. Input should be a search query. Output is a JSON array of the query results', 'parameters': {'type': 'object', 'properties': {'query': {'description': 'search query to look up', 'type': 'string'}}, 'required': ['query']}}]
 
QUERY:3 of my friends gave me 10 euros each, how much do I have now? 
 Functions to use:['multiply', 'add', 'sub', 'fahrenheit_to_celsius', 'celsius_to_fahrenheit', 'duck_duck_go']","based on the earlier draft please but ignore the opener. also ignore the ending, both made it worse

You are an Generative AI functions agent which generates the output mentioning which function to be called from the given list. Strictly use the mentioned functions only to generate the output. You have access to below tools 
[{'name': 'multiply', 'description': 'multiply(a: int, b: int) -> int - Performs multiplication of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Multiplication of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'add', 'description': 'add(a: int, b: int) -> int - Addition of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Adds of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'sub', 'description': 'sub(a: int, b: int) -> int - Substracts two numbers.\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Substracts of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'fahrenheit_to_celsius', 'description': 'fahrenheit_to_celsius(fahrenheit: float) -> float - Convert temperature from Fahrenheit to Celsius.\n\n    Args:\n    fahrenheit (float): Temperature in Fahrenheit\n\n    Returns:\n    float: Temperature converted to Celsius', 'parameters': {'type': 'object', 'properties': {'fahrenheit': {'type': 'number'}}, 'required': ['fahrenheit']}}, {'name': 'celsius_to_fahrenheit', 'description': 'celsius_to_fahrenheit(celsius: float) -> float - Convert temperature from Celsius to Fahrenheit.\n\n    Args:\n    celsius (float): Temperature in Celsius\n\n    Returns:\n    float: Temperature converted to Fahrenheit', 'parameters': {'type': 'object', 'properties': {'celsius': {'type': 'number'}}, 'required': ['celsius']}}, {'name': 'duck_duck_go', 'description': 'A wrapper around Duck Duck Go Search. Useful for when you need to answer questions about current events. Input should be a search query. Output is a JSON array of the query results', 'parameters': {'type': 'object', 'properties': {'query': {'description': 'search query to look up', 'type': 'string'}}, 'required': ['query']}}]
 
QUERY:3 of my friends gave me 10 euros each, how much do I have now? 
 Functions to use:['multiply', 'add', 'sub', 'fahrenheit_to_celsius', 'celsius_to_fahrenheit', 'duck_duck_go']","[{""multiply"": {""a"": [3], ""b"": [10]}}]","[{""arguments"": {""a"": 3, ""b"": 10}, ""name"": ""multiply""}]","[{""arguments"": {""a"": 10, ""b"": 10}, ""name"": ""add""}]"
no,questionable,Translation tool alias makes this less crisp.,21,"Clean succeeds, but the noisy prompt routes to a different function.",live_multiple_183-78-0,live_multiple_183-78-0__spaces,live_multiple,removed_spaces,wrong_tool_routing,Can you help me translate this English text to Danish: 'The quick brown fox jumps over the lazy dog.',Can you helpme translate this English text to Danish: 'The quick brown fox jumps over the lazy dog.',"[{""finish"": {""access_token"": ["""", ""example_token""], ""input_text"": [""The quick brown fox jumps over the lazy dog.""], ""max_length"": ["""", 500], ""src_lang"": [""en""], ""tgt_lang"": [""da""]}}]","[{""arguments"": {""access_token"": ""example_token"", ""input_text"": ""The quick brown fox jumps over the lazy dog."", ""max_length"": 500, ""src_lang"": ""en"", ""tgt_lang"": ""da""}, ""name"": ""finish""}]","[{""arguments"": {""appid"": ""exampleAppID"", ""secret_key"": ""exampleSecretKey"", ""text"": ""The quick brown fox jumps over the lazy dog."", ""tgt_lang"": ""da""}, ""name"": ""get_translation_nllb""}]"
yes,strong_failure,Routes a terse specific maintenance config lookup to a list endpoint.,22,"Clean succeeds, but the noisy prompt routes to a different function.",live_multiple_1000-231-0,live_multiple_1000-231-0__telegraphic_request,live_multiple,telegraphic_request,wrong_tool_routing,The maintenance config is needed for 'sandcastle'.,maintenance config needed 'sandcastle'.,"[{""MaintenanceConfigurationApi.get_maintenance_config"": {""id"": [""sandcastle""]}}]","[{""arguments"": {""id"": ""sandcastle""}, ""name"": ""MaintenanceConfigurationApi.get_maintenance_config""}]","[{""arguments"": {""filter_by_status"": ""active"", ""limit"": 100, ""page"": 1, ""sort_order"": ""asc""}, ""name"": ""get_maintenance_configs_v2""}]"
no,strong_failure,Duplicate of selected maintenance config failure.,23,"Clean succeeds, but the noisy prompt routes to a different function.",live_multiple_1000-231-0,live_multiple_1000-231-0__typos,live_multiple,typos,wrong_tool_routing,The maintenance config is needed for 'sandcastle'.,plese the maintenance config is needed for 'sandcastle'.,"[{""MaintenanceConfigurationApi.get_maintenance_config"": {""id"": [""sandcastle""]}}]","[{""arguments"": {""id"": ""sandcastle""}, ""name"": ""MaintenanceConfigurationApi.get_maintenance_config""}]","[{""arguments"": {""filter_by_status"": ""active"", ""limit"": 100, ""page"": 1, ""sort_order"": ""asc""}, ""name"": ""get_maintenance_configs_v2""}]"
no,artifact,BFCL gold omits prompt-mentioned square roots.,24,"Clean succeeds, but the noisy prompt causes an unnecessary extra tool call.",parallel_multiple_84,parallel_multiple_84__argue,parallel_multiple,argumentative_challenge,extra_tool_call,"""Imagine you are a math teacher preparing for a class. You want to create a challenging problem for your students that involves multiple steps. You decide to create a problem that involves finding the least common multiple (LCM) and the greatest common divisor (GCD) of two numbers, and then calculating the square root of these results. You choose the numbers 36 and 48 for the LCM and GCD calculations. For the square root calculations, you want the results to be accurate to 3 decimal places. What are the square roots of the LCM and GCD of 36 and 48, accurate to 3 decimal places?""","i don't trust your first answer, but ""Imagine you are a math teacher preparing for a class. You want to create a challenging problem for your students that involves multiple steps. You decide to create a problem that involves finding the least common multiple (LCM) and the greatest common divisor (GCD) of two numbers, and then calculating the square root of these results. You choose the numbers 36 and 48 for the LCM and GCD calculations. For the square root calculations, you want the results to be accurate to 3 decimal places. What are the square roots of the LCM and GCD of 36 and 48, accurate to 3 decimal places?""","[{""math.lcm"": {""num1"": [36], ""num2"": [48]}}, {""math.gcd"": {""num1"": [36], ""num2"": [48]}}]","[{""arguments"": {""num1"": 36, ""num2"": 48}, ""name"": ""math.gcd""}, {""arguments"": {""num1"": 36, ""num2"": 48}, ""name"": ""math.lcm""}]","[{""arguments"": {""num1"": 36, ""num2"": 48}, ""name"": ""math.gcd""}, {""arguments"": {""num1"": 36, ""num2"": 48}, ""name"": ""math.lcm""}, {""arguments"": {""accuracy"": 3, ""num"": 1}, ""name"": ""math.sqrt""}, {""arguments"": {""accuracy"": 3, ""num"": 1}, ""name"": ""math.sqrt""}]"
no,questionable,Extra impact call may be semantically valid.,25,"Clean succeeds, but the noisy prompt causes an unnecessary extra tool call.",multiple_7,multiple_7__cursing,multiple,cursing,extra_tool_call,How to assess the population growth in deer and their impact on woodland in Washington state over the past decade?,ffs how to assess the population growth in deer and their impact on woodland in Washington state over the past decade? brother,"[{""wildlife_population.assess_growth"": {""duration"": [10], ""location"": [""Washington state"", ""WA"", ""Washington""], ""species"": [""deer"", ""Deer""]}}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}, {""arguments"": {""ecosystem"": ""woodland"", ""location"": ""Washington state"", ""species"": ""deer"", ""timeframe"": 10}, ""name"": ""ecological_impact.analyze""}]"
no,questionable,Extra impact call may be semantically valid.,26,"Clean succeeds, but the noisy prompt causes an unnecessary extra tool call.",multiple_7,multiple_7__context,multiple,irrelevant_context,extra_tool_call,How to assess the population growth in deer and their impact on woodland in Washington state over the past decade?,"i spilled coffee and lost my notes, please how to assess the population growth in deer and their impact on woodland in Washington state over the past decade?","[{""wildlife_population.assess_growth"": {""duration"": [10], ""location"": [""Washington state"", ""WA"", ""Washington""], ""species"": [""deer"", ""Deer""]}}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}, {""arguments"": {""ecosystem"": ""woodland"", ""location"": ""Washington state"", ""species"": ""deer"", ""timeframe"": 10}, ""name"": ""ecological_impact.analyze""}]"
yes,strong_failure,Splits two shop-location calls into redundant instrument-specific calls.,28,"Clean succeeds, but the noisy prompt causes an unnecessary extra tool call.",parallel_41,parallel_41__pasted_context_block,parallel,pasted_context_block,extra_tool_call,"Show me the closest music shop where I can purchase a Yamaha acoustic guitar and a Kawai piano in San Francisco, California, and Chicago, Illinois.","look at this again. i already tried to clean it up and the earlier answer went in circles, just give me the usable part now

Show me the closest music shop where I can purchase a Yamaha acoustic guitar and a Kawai piano in San Francisco, California, and Chicago, Illinois.","[{""find_music_instrument_store"": {""instruments"": [[""Yamaha Acoustic Guitar"", ""Kawai Piano""], [""Kawai Piano"", ""Yamaha Acoustic Guitar""], [""Yamaha acoustic guitar"", ""Kawai piano""], [""Kawai piano"", ""Yamaha acoustic guitar""]], ""location"": [""San Francisco, CA"", ""San Francisco, CA"", ""San Francisco, California""]}}, {""find_music_instrument_store"": {""instruments"": [[""Yamaha Acoustic Guitar"", ""Kawai Piano""], [""Kawai Piano"", ""Yamaha Acoustic Guitar""], [""Yamaha acoustic guitar"", ""Kawai piano""], [""Kawai piano"", ""Yamaha acoustic guitar""]], ""location"": [""Chicago, IL"", ""Chicago, Illinois"", ""Chicago, IL.""]}}]","[{""arguments"": {""instruments"": [""Yamaha acoustic guitar"", ""Kawai piano""], ""location"": ""San Francisco, CA""}, ""name"": ""find_music_instrument_store""}, {""arguments"": {""instruments"": [""Yamaha acoustic guitar"", ""Kawai piano""], ""location"": ""Chicago, IL""}, ""name"": ""find_music_instrument_store""}]","[{""arguments"": {""instruments"": [""Yamaha acoustic guitar"", ""Yamaha acoustic guitar"", ""Yamaha acoustic guitar""], ""location"": ""San Francisco, CA""}, ""name"": ""find_music_instrument_store""}, {""arguments"": {""instruments"": [""Kawai piano"", ""Kawai piano"", ""Kawai piano""], ""location"": ""San Francisco, CA""}, ""name"": ""find_music_instrument_store""}, {""arguments"": {""instruments"": [""Yamaha acoustic guitar"", ""Yamaha acoustic guitar"", ""Yamaha acoustic guitar""], ""location"": ""Chicago, IL""}, ""name"": ""find_music_instrument_store""}, {""arguments"": {""instruments"": [""Kawai piano"", ""Kawai piano"", ""Kawai piano""], ""location"": ""Chicago, IL""}, ""name"": ""find_music_instrument_store""}]"
no,questionable,Confounded by removed-space entity boundary.,29,"Clean succeeds, but the noisy prompt causes an unnecessary extra tool call.",multiple_7,multiple_7__spaces,multiple,removed_spaces,extra_tool_call,How to assess the population growth in deer and their impact on woodland in Washington state over the past decade?,How to assess the population growth in deer and their impact on woodland in Washington state over the pastdecade?,"[{""wildlife_population.assess_growth"": {""duration"": [10], ""location"": [""Washington state"", ""WA"", ""Washington""], ""species"": [""deer"", ""Deer""]}}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}, {""arguments"": {""ecosystem"": ""woodland"", ""location"": ""Washington state"", ""species"": ""deer"", ""timeframe"": 10}, ""name"": ""ecological_impact.analyze""}]"
no,questionable,Extra movie search may be prompted by the wording.,30,"Clean succeeds, but the noisy prompt causes an unnecessary extra tool call.",live_multiple_358-134-3,live_multiple_358-134-3__telegraphic_request,live_multiple,telegraphic_request,extra_tool_call,Would you help me to search a movie acted by J. Patrick McNamara and directed by Steven Spielberg and search something with Future scientific fiction genre.,help search movie acted by J. Patrick McNamara and directed by Steven Spielberg and search something Future scientific fiction genre.,"[{""Movies_3_FindMovies"": {""cast"": [""J. Patrick McNamara""], ""directed_by"": [""Steven Spielberg""], ""genre"": [""Sci-fi""]}}]","[{""arguments"": {""cast"": ""J. Patrick McNamara"", ""directed_by"": ""Steven Spielberg"", ""genre"": ""Sci-fi""}, ""name"": ""Movies_3_FindMovies""}]","[{""arguments"": {""cast"": ""J. Patrick McNamara"", ""directed_by"": ""Steven Spielberg"", ""genre"": ""Sci-fi""}, ""name"": ""Movies_3_FindMovies""}, {""arguments"": {""cast"": ""dontcare"", ""directed_by"": ""dontcare"", ""genre"": ""Sci-fi""}, ""name"": ""Movies_3_FindMovies""}]"
no,questionable,Extra impact call may be semantically valid.,31,"Clean succeeds, but the noisy prompt causes an unnecessary extra tool call.",multiple_7,multiple_7__typos,multiple,typos,extra_tool_call,How to assess the population growth in deer and their impact on woodland in Washington state over the past decade?,plese how to assess the population growth in deer and their impact on woodland in Washington state over the past decade?,"[{""wildlife_population.assess_growth"": {""duration"": [10], ""location"": [""Washington state"", ""WA"", ""Washington""], ""species"": [""deer"", ""Deer""]}}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}]","[{""arguments"": {""duration"": 10, ""location"": ""Washington state"", ""species"": ""deer""}, ""name"": ""wildlife_population.assess_growth""}, {""arguments"": {""ecosystem"": ""woodland"", ""location"": ""Washington state"", ""species"": ""deer"", ""timeframe"": 10}, ""name"": ""ecological_impact.analyze""}]"
yes,strong_failure,Changes retry attempts from the default to one.,32,"Clean succeeds, but the noisy prompt changes a required argument value.",live_multiple_101-42-5,live_multiple_101-42-5__argue,live_multiple,argumentative_challenge,wrong_argument_value,Establish a connection to the server with the nickname 'SQL01' exactly 60 seconds?,"prove you can actually do this, establish a connection to the server with the nickname 'SQL01' exactly 60 seconds?","[{""connect_to_server"": {""nickname"": [""SQL01""], ""retry_attempts"": ["""", 3], ""timeout"": [60], ""use_ssl"": ["""", true]}}]","[{""arguments"": {""nickname"": ""SQL01"", ""retry_attempts"": 3, ""timeout"": 60, ""use_ssl"": true}, ""name"": ""connect_to_server""}]","[{""arguments"": {""nickname"": ""SQL01"", ""retry_attempts"": 1, ""timeout"": 60, ""use_ssl"": true}, ""name"": ""connect_to_server""}]"
no,questionable,Include-details argument is semantically debatable.,34,"Clean succeeds, but the noisy prompt changes a required argument value.",live_multiple_1018-247-0,live_multiple_1018-247-0__cursing,live_multiple,cursing,wrong_argument_value,Provide me with all the configured websites. My API is called YOUR_API_KEY,this is bullshit provide me with all the configured websites. My API is called YOUR_API_KEY,"[{""website_configuration_api.get_websites"": {""api_key"": [""YOUR_API_KEY""], ""include_details"": ["""", false], ""status_filter"": ["""", ""active""]}}]","[{""arguments"": {""api_key"": ""YOUR_API_KEY"", ""include_details"": false, ""status_filter"": ""active""}, ""name"": ""website_configuration_api.get_websites""}]","[{""arguments"": {""api_key"": ""YOUR_API_KEY"", ""include_details"": true, ""status_filter"": ""active""}, ""name"": ""website_configuration_api.get_websites""}]"
no,questionable,MTNA versus Rich Data Services creates baseline ambiguity.,36,"Clean succeeds, but the noisy prompt changes a required argument value.",live_multiple_113-44-0,live_multiple_113-44-0__context,live_multiple,irrelevant_context,wrong_argument_value,Could you retrieve a list of all the MTNA Rich Data Services servers for me?,"the meeting earlier was useless, could you retrieve a list of all the MTNA Rich Data Services servers for me?","[{""list_servers"": {""server_type"": [""mtna""]}}]","[{""arguments"": {""server_type"": ""mtna""}, ""name"": ""list_servers""}]","[{""arguments"": {""server_type"": ""rds""}, ""name"": ""list_servers""}]"
no,questionable,MTNA versus Rich Data Services creates baseline ambiguity.,44,"Clean succeeds, but the noisy prompt changes a required argument value.",live_multiple_113-44-0,live_multiple_113-44-0__pasted_context_block,live_multiple,pasted_context_block,wrong_argument_value,Could you retrieve a list of all the MTNA Rich Data Services servers for me?,"terminal paste from earlier:
$ make something
checking files...
nothing to do
done
then i got distracted and copied this too

Could you retrieve a list of all the MTNA Rich Data Services servers for me?","[{""list_servers"": {""server_type"": [""mtna""]}}]","[{""arguments"": {""server_type"": ""mtna""}, ""name"": ""list_servers""}]","[{""arguments"": {""server_type"": ""rds""}, ""name"": ""list_servers""}]"
no,questionable,Include-details argument is semantically debatable.,46,"Clean succeeds, but the noisy prompt changes a required argument value.",live_multiple_1018-247-0,live_multiple_1018-247-0__spaces,live_multiple,removed_spaces,wrong_argument_value,Provide me with all the configured websites. My API is called YOUR_API_KEY,Provide me withall the configured websites. My API is called YOUR_API_KEY,"[{""website_configuration_api.get_websites"": {""api_key"": [""YOUR_API_KEY""], ""include_details"": ["""", false], ""status_filter"": ["""", ""active""]}}]","[{""arguments"": {""api_key"": ""YOUR_API_KEY"", ""include_details"": false, ""status_filter"": ""active""}, ""name"": ""website_configuration_api.get_websites""}]","[{""arguments"": {""api_key"": ""YOUR_API_KEY"", ""include_details"": true, ""status_filter"": ""active""}, ""name"": ""website_configuration_api.get_websites""}]"
no,questionable,MTNA versus Rich Data Services creates baseline ambiguity.,47,"Clean succeeds, but the noisy prompt changes a required argument value.",live_multiple_113-44-0,live_multiple_113-44-0__telegraphic_request,live_multiple,telegraphic_request,wrong_argument_value,Could you retrieve a list of all the MTNA Rich Data Services servers for me?,retrieve list all MTNA Rich Data Services servers,"[{""list_servers"": {""server_type"": [""mtna""]}}]","[{""arguments"": {""server_type"": ""mtna""}, ""name"": ""list_servers""}]","[{""arguments"": {""server_type"": ""rds""}, ""name"": ""list_servers""}]"
no,questionable,MTNA versus Rich Data Services creates baseline ambiguity.,48,"Clean succeeds, but the noisy prompt changes a required argument value.",live_multiple_113-44-0,live_multiple_113-44-0__typos,live_multiple,typos,wrong_argument_value,Could you retrieve a list of all the MTNA Rich Data Services servers for me?,plese could you retrieve a list of all the MTNA Rich Data Services servers for me?,"[{""list_servers"": {""server_type"": [""mtna""]}}]","[{""arguments"": {""server_type"": ""mtna""}, ""name"": ""list_servers""}]","[{""arguments"": {""server_type"": ""rds""}, ""name"": ""list_servers""}]"
yes,strong_failure,Drops the transfer-enabled transit scenario.,49,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",parallel_136,parallel_136__typos,parallel,typos,missing_tool_call,"What is the shortest distance between New York and Los Angeles using a bus as the preferred mode of public transportation, and then what is the shortest distance if we allow transfer between different modes of transportation?","What is the shortest distnace betwen New York and Los Angeles using a bus as the preferred mode of public transportation, and then what is the shortest distance if we allow transfer between different modes of transportation?","[{""city_distance.find_shortest"": {""allow_transfer"": ["""", false], ""end_city"": [""Los Angeles"", ""Los Angeles, CA"", ""LA""], ""start_city"": [""New York"", ""New York, NY"", ""NYC""], ""transportation"": [""bus"", """"]}}, {""city_distance.find_shortest"": {""allow_transfer"": [true], ""end_city"": [""Los Angeles"", ""Los Angeles, CA"", ""LA""], ""start_city"": [""New York"", ""New York, NY"", ""NYC""], ""transportation"": [""bus"", """"]}}]","[{""arguments"": {""allow_transfer"": false, ""end_city"": ""Los Angeles"", ""start_city"": ""New York"", ""transportation"": ""bus""}, ""name"": ""city_distance.find_shortest""}, {""arguments"": {""allow_transfer"": true, ""end_city"": ""Los Angeles"", ""start_city"": ""New York"", ""transportation"": ""bus""}, ""name"": ""city_distance.find_shortest""}]","[{""arguments"": {""allow_transfer"": false, ""end_city"": ""Los Angeles"", ""start_city"": ""New York"", ""transportation"": ""bus""}, ""name"": ""city_distance.find_shortest""}]"
yes,strong_failure,Drops two of three dice-probability calls.,50,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",parallel_159,parallel_159__typos,parallel,typos,missing_tool_call,"""In a board game, you have a six-sided die. You are curious about the probability of rolling a 4 three times in a row. After that, you want to know the probability of rolling a 2 twice in a row. Finally, you wonder what the probability would be if the die had 8 sides and you wanted to roll a 7 two times in a row. Can you calculate these probabilities?""","plese ""In a board game, you have a six-sided die. You are curious about the probability of rolling a 4 three times in a row. After that, you want to know the probability of rolling a 2 twice in a row. Finally, you wonder what the probability would be if the die had 8 sides and you wanted to roll a 7 two times in a row. Can you calculate these probabilities?""","[{""probability.dice_roll"": {""desired_number"": [4], ""die_sides"": [6, """"], ""number_of_rolls"": [3]}}, {""probability.dice_roll"": {""desired_number"": [2], ""die_sides"": [6, """"], ""number_of_rolls"": [2]}}, {""probability.dice_roll"": {""desired_number"": [7], ""die_sides"": [8], ""number_of_rolls"": [2]}}]","[{""arguments"": {""desired_number"": 4, ""die_sides"": 6, ""number_of_rolls"": 3}, ""name"": ""probability.dice_roll""}, {""arguments"": {""desired_number"": 2, ""die_sides"": 6, ""number_of_rolls"": 2}, ""name"": ""probability.dice_roll""}, {""arguments"": {""desired_number"": 7, ""die_sides"": 8, ""number_of_rolls"": 2}, ""name"": ""probability.dice_roll""}]","[{""arguments"": {""desired_number"": 4, ""die_sides"": 6, ""number_of_rolls"": 3}, ""name"": ""probability.dice_roll""}]"
yes,strong_failure,Routes column deletion to backup.,51,"Clean succeeds, but the noisy prompt routes to a different function.",multiple_10,multiple_10__cursing,multiple,cursing,wrong_tool_routing,I need to delete some columns from my employees database on personal_data table. I want to remove their email addresses and social security numbers to respect privacy.,this is bullshit i need to delete some columns from my employees database on personal_data table. I want to remove their email addresses and social security numbers to respect privacy.,"[{""database.modify_columns"": {""columns"": [[""email"", ""ssn""], [""ssn"", ""email""], [""email"", ""social_security_number""], [""social_security_number"", ""email""], [""email"", ""social security number""], [""social security number"", ""email""]], ""db_name"": [""employees""], ""operation"": [""delete""], ""table"": [""personal_data""]}}]","[{""arguments"": {""columns"": [""email"", ""social_security_number""], ""db_name"": ""employees"", ""operation"": ""delete"", ""table"": ""personal_data""}, ""name"": ""database.modify_columns""}]","[{""arguments"": {""backup_location"": ""/backups"", ""db_name"": ""employees"", ""timestamp"": true}, ""name"": ""database.create_backup""}]"
yes,strong_failure,Collapses four genetics calls to one.,52,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",parallel_115,parallel_115__cursing,parallel,cursing,missing_tool_call,"""Could you calculate the genetic similarity between a human and a chimpanzee, and then between a human and a gorilla, using their DNA sequences? Please provide the results in both percentage and fraction formats.""","holy shit just ""Could you calculate the genetic similarity between a human and a chimpanzee, and then between a human and a gorilla, using their DNA sequences? Please provide the results in both percentage and fraction formats.""","[{""genetics.calculate_similarity"": {""format"": [""percentage"", """"], ""species1"": [""human"", ""Human""], ""species2"": [""chimpanzee""]}}, {""genetics.calculate_similarity"": {""format"": [""fraction""], ""species1"": [""human""], ""species2"": [""chimpanzee""]}}, {""genetics.calculate_similarity"": {""format"": [""percentage"", """"], ""species1"": [""human""], ""species2"": [""gorilla""]}}, {""genetics.calculate_similarity"": {""format"": [""fraction""], ""species1"": [""human""], ""species2"": [""gorilla""]}}]","[{""arguments"": {""format"": ""percentage"", ""species1"": ""human"", ""species2"": ""chimpanzee""}, ""name"": ""genetics.calculate_similarity""}, {""arguments"": {""format"": ""fraction"", ""species1"": ""human"", ""species2"": ""chimpanzee""}, ""name"": ""genetics.calculate_similarity""}, {""arguments"": {""format"": ""percentage"", ""species1"": ""human"", ""species2"": ""gorilla""}, ""name"": ""genetics.calculate_similarity""}, {""arguments"": {""format"": ""fraction"", ""species1"": ""human"", ""species2"": ""gorilla""}, ""name"": ""genetics.calculate_similarity""}]","[{""arguments"": {""format"": ""percentage"", ""species1"": ""human"", ""species2"": ""chimpanzee""}, ""name"": ""genetics.calculate_similarity""}]"
