review_status,manual_error_type,oracle_issue,augmentation_issue,baseline_dataset_issue,notes,base_id,noisy_id,category,dimension,heuristic_error_type,clean_prompt,noisy_prompt,gold,clean_prediction,noisy_prediction
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,parallel_multiple_129,parallel_multiple_129__typos,parallel_multiple,typos,argument_value_error,"""Can you help me with a couple of conversions? First, I have 5000 Euros that I want to convert into US Dollars using the latest exchange rate. Then, I have another 3000 Euros that I want to convert into British Pounds, but this time, I want to use the last known exchange rate. After that, I have a distance of 100 kilometers that I want to convert into miles. Lastly, I have a weight of 75 kilograms that I want to convert into pounds. Can you do these conversions for me?""","plese ""Can you help me with a couple of conversions? First, I have 5000 Euros that I want to convert into US Dollars using the latest exchange rate. Then, I have another 3000 Euros that I want to convert into British Pounds, but this time, I want to use the last known exchange rate. After that, I have a distance of 100 kilometers that I want to convert into miles. Lastly, I have a weight of 75 kilograms that I want to convert into pounds. Can you do these conversions for me?""","[{""currency_exchange.convert"": {""amount"": [5000], ""from_currency"": [""Euros"", ""EUR""], ""live_conversion"": [true, """"], ""to_currency"": [""US Dollars"", ""USD""]}}, {""currency_exchange.convert"": {""amount"": [3000], ""from_currency"": [""Euros"", ""EUR""], ""live_conversion"": [false], ""to_currency"": [""British Pounds"", ""GBP""]}}, {""unit_conversion.convert"": {""from_unit"": [""kilometers"", ""km""], ""to_unit"": [""miles"", ""mi""], ""value"": [100]}}, {""unit_conversion.convert"": {""from_unit"": [""kilograms"", ""kg""], ""to_unit"": [""pounds"", ""lbs"", ""lb""], ""value"": [75]}}]","[{""arguments"": {""amount"": 5000, ""from_currency"": ""EUR"", ""live_conversion"": true, ""to_currency"": ""USD""}, ""name"": ""currency_exchange.convert""}, {""arguments"": {""amount"": 3000, ""from_currency"": ""EUR"", ""live_conversion"": false, ""to_currency"": ""GBP""}, ""name"": ""currency_exchange.convert""}, {""arguments"": {""from_unit"": ""km"", ""to_unit"": ""mi"", ""value"": 100}, ""name"": ""unit_conversion.convert""}, {""arguments"": {""from_unit"": ""kg"", ""to_unit"": ""lb"", ""value"": 75}, ""name"": ""unit_conversion.convert""}]","[{""arguments"": {""amount"": 5000, ""from_currency"": ""EUR"", ""live_conversion"": true, ""to_currency"": ""USD""}, ""name"": ""currency_exchange.convert""}, {""arguments"": {""amount"": 3000, ""from_currency"": ""EUR"", ""live_conversion"": false, ""to_currency"": ""GBP""}, ""name"": ""currency_exchange.convert""}, {""arguments"": {""from_unit"": ""kilometer"", ""to_unit"": ""mile"", ""value"": 100}, ""name"": ""unit_conversion.convert""}, {""arguments"": {""from_unit"": ""kilogram"", ""to_unit"": ""pound"", ""value"": 75}, ""name"": ""unit_conversion.convert""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,parallel_multiple_180,parallel_multiple_180__typos,parallel_multiple,typos,argument_value_error,"""Can you tell me who discovered the Higgs Boson and provide additional details about them, such as their birth date and nationality? Also, I am a 180 lbs, 5'11"" tall individual who is moderately active, can you predict my likelihood of having type 2 diabetes? Lastly, I am planning to visit the Louvre museum in Paris, can you tell me its working hours on Monday?""","plese ""Can you tell me who discovered the Higgs Boson and provide additional details about them, such as their birth date and nationality? Also, I am a 180 lbs, 5'11"" tall individual who is moderately active, can you predict my likelihood of having type 2 diabetes? Lastly, I am planning to visit the Louvre museum in Paris, can you tell me its working hours on Monday?""","[{""get_discoverer"": {""detail"": [true], ""discovery"": [""Higgs Boson"", ""higgs boson"", ""Higgs Boson particle""]}}, {""diabetes_prediction"": {""activity_level"": [""moderately active""], ""height"": [71], ""weight"": [180]}}, {""museum_working_hours.get"": {""day"": [""Monday"", ""monday"", """"], ""location"": [""Paris"", ""Paris, France""], ""museum"": [""Louvre"", ""the Louvre museum""]}}]","[{""arguments"": {""detail"": true, ""discovery"": ""Higgs Boson""}, ""name"": ""get_discoverer""}, {""arguments"": {""activity_level"": ""moderately active"", ""height"": 71, ""weight"": 180}, ""name"": ""diabetes_prediction""}, {""arguments"": {""day"": ""Monday"", ""location"": ""Paris"", ""museum"": ""Louvre""}, ""name"": ""museum_working_hours.get""}]","[{""arguments"": {""detail"": true, ""discovery"": ""Higgs Boson""}, ""name"": ""get_discoverer""}, {""arguments"": {""activity_level"": ""moderately active"", ""height"": 71, ""weight"": 180}, ""name"": ""diabetes_prediction""}, {""arguments"": {""day"": ""Monday"", ""location"": ""Paris"", ""museum"": ""Louvre museum""}, ""name"": ""museum_working_hours.get""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,live_simple_162-96-1,live_simple_162-96-1__typos,live_simple,typos,argument_value_error,"{
    ""response"": "" A 4-image grid of various comic book superheroes. Her is a list of objects that contain copyright material\n\nRed and blue circle logo.\nRed and yellow circle logo.\nGreen circle logo.\nBlack circle logo.""
}
","plese {
    ""response"": "" A 4-image grid of various comic book superheroes. Her is a list of objects that contain copyright material\n\nRed and blue circle logo.\nRed and yellow circle logo.\nGreen circle logo.\nBlack circle logo.""
}
","[{""get_items"": {""items"": [[""Red and blue circle logo"", ""Red and yellow circle logo"", ""Green circle logo"", ""Black circle logo""]]}}]","[{""arguments"": {""items"": [""Red and blue circle logo"", ""Red and yellow circle logo"", ""Green circle logo"", ""Black circle logo""]}, ""name"": ""get_items""}]","[{""arguments"": {""items"": [""4-image grid of various comic book superheroes"", ""Red and blue circle logo"", ""Red and yellow circle logo"", ""Green circle logo"", ""Black circle logo""]}, ""name"": ""get_items""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,live_simple_168-99-2,live_simple_168-99-2__typos,live_simple,typos,argument_value_error,start Docker on window using docker start.,start Docker on window useing docker start.,"[{""cmd_controller.execute"": {""command"": [""docker start""]}}]","[{""arguments"": {""command"": ""docker start""}, ""name"": ""cmd_controller.execute""}]","[{""arguments"": {""command"": ""docker version && docker start $(docker ps -aq)""}, ""name"": ""cmd_controller.execute""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,live_simple_182-107-0,live_simple_182-107-0__typos,live_simple,typos,argument_value_error,"Help find a housekeeper who provides ironing services in Bangkok, Khlong Sam Wa District, Sai Kong Subdistrict, with a review score of 4.5 stars or more.","plese help find a housekeeper who provides ironing services in Bangkok, Khlong Sam Wa District, Sai Kong Subdistrict, with a review score of 4.5 stars or more.","[{""get_service_providers"": {""district_name"": [""Khlong Sam Wa""], ""province_id"": [1], ""rating"": [4.5], ""service_id"": [2], ""sub_district_name"": [""Sai Kong""]}}]","[{""arguments"": {""district_name"": ""Khlong Sam Wa"", ""province_id"": 1, ""rating"": 4.5, ""service_id"": 2, ""sub_district_name"": ""Sai Kong""}, ""name"": ""get_service_providers""}]","[{""arguments"": {""district_name"": ""Khlong Sam Wa District"", ""province_id"": 1, ""rating"": 4.5, ""service_id"": 2, ""sub_district_name"": ""Sai Kong Subdistrict""}, ""name"": ""get_service_providers""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,live_multiple_34-11-0,live_multiple_34-11-0__typos,live_multiple,typos,argument_value_error,Could you provide me with the latest news for Letterkenny?,plese could you provide me with the latest news for Letterkenny?,"[{""get_news_report"": {""location"": [""Letterkenny, Ireland""]}}]","[{""arguments"": {""location"": ""Letterkenny, Ireland""}, ""name"": ""get_news_report""}]","[{""arguments"": {""location"": ""Letterkenny""}, ""name"": ""get_news_report""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,live_multiple_300-130-9,live_multiple_300-130-9__typos,live_multiple,typos,argument_value_error,I need a home rated above 4.2 for 2 people in Rio de Janeiro.,plese i need a home rated above 4.2 for 2 people in Rio de Janeiro.,"[{""Hotels_2_SearchHouse"": {""has_laundry_service"": ["""", ""dontcare""], ""number_of_adults"": [2], ""rating"": [4.2], ""where_to"": [""Rio de Janeiro, Brazil""]}}]","[{""arguments"": {""has_laundry_service"": ""dontcare"", ""number_of_adults"": 2, ""rating"": 4.2, ""where_to"": ""Rio de Janeiro, Brazil""}, ""name"": ""Hotels_2_SearchHouse""}]","[{""arguments"": {""has_laundry_service"": ""dontcare"", ""number_of_adults"": 2, ""rating"": 4.2, ""where_to"": ""Rio de Janeiro, BR""}, ""name"": ""Hotels_2_SearchHouse""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_162,simple_python_162__cursing,simple_python,cursing,argument_value_error,Generate a customized law contract between John and Alice for rental agreement in California.,man for fuck sake generate a customized law contract between John and Alice for rental agreement in California.,"[{""generate_law_contract"": {""contract_type"": [""Rental Agreement"", ""rental agreement""], ""location"": [""California"", ""CA""], ""parties"": [[""John"", ""Alice""], [""John"", ""Alice""]]}}]","[{""arguments"": {""contract_type"": ""Rental Agreement"", ""location"": ""California"", ""parties"": [""John"", ""Alice""]}, ""name"": ""generate_law_contract""}]","[{""arguments"": {""contract_type"": ""Residential Rental Agreement"", ""location"": ""California"", ""parties"": [""John"", ""Alice""]}, ""name"": ""generate_law_contract""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_200,simple_python_200__cursing,simple_python,cursing,argument_value_error,"How much CO2 is produced annually by a gas-fueled car that travels 12,000 miles per year, with fuel efficiency of 25 MPG ?","this is bullshit how much CO2 is produced annually by a gas-fueled car that travels 12,000 miles per year, with fuel efficiency of 25 MPG ?","[{""calculate_emissions"": {""distance"": [12000], ""efficiency_reduction"": [0, """"], ""fuel_efficiency"": ["""", 25.0], ""fuel_type"": [""gas""]}}]","[{""arguments"": {""distance"": 12000, ""efficiency_reduction"": 0, ""fuel_efficiency"": 25, ""fuel_type"": ""gas""}, ""name"": ""calculate_emissions""}]","[{""arguments"": {""distance"": 12000, ""efficiency_reduction"": 0, ""fuel_efficiency"": 25, ""fuel_type"": ""gasoline""}, ""name"": ""calculate_emissions""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_266,simple_python_266__cursing,simple_python,cursing,argument_value_error,What is the value of the sculpture 'The Thinker' by Rodin?,this is bullshit what is the value of the sculpture 'The Thinker' by Rodin?,"[{""get_sculpture_value"": {""artist"": [""Rodin""], ""sculpture"": [""The Thinker""]}}]","[{""arguments"": {""artist"": ""Rodin"", ""sculpture"": ""The Thinker""}, ""name"": ""get_sculpture_value""}]","[{""arguments"": {""artist"": ""Auguste Rodin"", ""sculpture"": ""The Thinker""}, ""name"": ""get_sculpture_value""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_283,simple_python_283__cursing,simple_python,cursing,argument_value_error,Find the price of a used Gibson Les Paul guitar in excellent condition in the Chicago area.,holy shit just find the price of a used Gibson Les Paul guitar in excellent condition in the Chicago area.,"[{""guitar_price.find"": {""condition"": [""Excellent""], ""location"": [""Chicago"", ""Chicago, IL"", ""Chicago, Illinois""], ""model"": [""Gibson Les Paul""]}}]","[{""arguments"": {""condition"": ""Excellent"", ""location"": ""Chicago, IL"", ""model"": ""Gibson Les Paul""}, ""name"": ""guitar_price.find""}]","[{""arguments"": {""condition"": ""Excellent"", ""location"": ""Chicago area"", ""model"": ""Gibson Les Paul""}, ""name"": ""guitar_price.find""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_358,simple_python_358__cursing,simple_python,cursing,argument_value_error,Find a gluten-free cookie recipe that takes less than 30 minutes to prepare.,find a gluten-free cookie recipe that takes less than 30 minutes to prepare. fucking please man,"[{""recipe_search"": {""diet"": [[""Gluten Free""], [""GF""], [""gluten free""]], ""dish"": [""cookie""], ""time_limit"": [30]}}]","[{""arguments"": {""diet"": [""Gluten Free""], ""dish"": ""cookie"", ""time_limit"": 30}, ""name"": ""recipe_search""}]","[{""arguments"": {""diet"": [""Gluten Free""], ""dish"": ""cookies"", ""time_limit"": 30}, ""name"": ""recipe_search""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,multiple_23,multiple_23__cursing,multiple,cursing,argument_value_error,"What are the current stats for basketball player LeBron James including points per game, assists, and minutes per game.","goddamn it what are the current stats for basketball player LeBron James including points per game, assists, and minutes per game.","[{""basketball.player_stats.get"": {""player_name"": [""LeBron James""], ""stats_fields"": [[""points per game"", ""assists"", ""minutes per game""], [""points per game"", ""minutes per game"", ""assists""], [""assists"", ""points per game"", ""minutes per game""], [""assists"", ""minutes per game"", ""points per game""], [""minutes per game"", ""points per game"", ""assists""], [""minutes per game"", ""assists"", ""points per game""], [""points"", ""assists"", ""minutes""], [""points"", ""minutes"", ""assists""], [""assists"", ""points"", ""minutes""], [""assists"", ""minutes"", ""points""], [""minutes"", ""points"", ""assists""], [""minutes"", ""assists"", ""points""], [""points_per_game"", ""assists"", ""minutes_per_game""], [""points_per_game"", ""minutes_per_game"", ""assists""], [""assists"", ""points_per_game"", ""minutes_per_game""], [""assists"", ""minutes_per_game"", ""points_per_game""], [""minutes_per_game"", ""points_per_game"", ""assists""], [""minutes_per_game"", ""assists"", ""points_per_game""]]}}]","[{""arguments"": {""player_name"": ""LeBron James"", ""stats_fields"": [""points_per_game"", ""assists"", ""minutes_per_game""]}, ""name"": ""basketball.player_stats.get""}]","[{""arguments"": {""player_name"": ""LeBron James"", ""stats_fields"": [""points_per_game"", ""assists_per_game"", ""minutes_per_game""]}, ""name"": ""basketball.player_stats.get""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,multiple_43,multiple_43__cursing,multiple,cursing,argument_value_error,What is the energy produced by 5 mol of glucose (C6H12O6)?,ffs what is the energy produced by 5 mol of glucose (C6H12O6)? brother,"[{""biological.calc_energy"": {""joules_per_mol"": [2800, """"], ""mols"": [5], ""substance"": [""C6H12O6""]}}]","[{""arguments"": {""joules_per_mol"": 2800, ""mols"": 5, ""substance"": ""C6H12O6""}, ""name"": ""biological.calc_energy""}]","[{""arguments"": {""joules_per_mol"": 2800, ""mols"": 5, ""substance"": ""glucose (C6H12O6)""}, ""name"": ""biological.calc_energy""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,multiple_165,multiple_165__cursing,multiple,cursing,argument_value_error,Find the price of a used Gibson Les Paul guitar in excellent condition in the Chicago area.,holy shit just find the price of a used Gibson Les Paul guitar in excellent condition in the Chicago area.,"[{""guitar_price.find"": {""condition"": [""Excellent""], ""location"": [""Chicago"", ""Chicago area""], ""model"": [""Gibson Les Paul""]}}]","[{""arguments"": {""condition"": ""Excellent"", ""location"": ""Chicago area"", ""model"": ""Gibson Les Paul""}, ""name"": ""guitar_price.find""}]","[{""arguments"": {""condition"": ""Excellent"", ""location"": ""Chicago, IL"", ""model"": ""Gibson Les Paul""}, ""name"": ""guitar_price.find""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,multiple_191,multiple_191__cursing,multiple,cursing,argument_value_error,"Book a luxury room in Hotel Paradise, Las Vegas, with a city view for 3 days starting from May 12, 2022.","goddamn it book a luxury room in Hotel Paradise, Las Vegas, with a city view for 3 days starting from May 12, 2022.","[{""book_hotel"": {""hotel_name"": [""Hotel Paradise""], ""location"": [""Las Vegas"", ""Las Vegas, NV"", ""LV""], ""room_type"": [""luxury"", ""Luxury""], ""start_date"": [""05-12-2022"", ""2022-05-12"", ""12/05/2022"", ""May.12,2022"", ""May 12, 2022""], ""stay_duration"": [3], ""view"": [""city"", ""city view""]}}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""Luxury"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""City view""}, ""name"": ""book_hotel""}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""Luxury room"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""City view""}, ""name"": ""book_hotel""}]"
