review_label,artifact_type,notes,model,provider,dimension,base_id,noisy_id,category,clean_prompt,noisy_prompt,gold,clean_prediction,noisy_prediction,clean_names,noisy_names,error_type,error,completion_tokens,reasoning_tokens
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,multiple_191,multiple_191__telegraphic_request,multiple,"Book a luxury room in Hotel Paradise, Las Vegas, with a city view for 3 days starting from May 12, 2022.","Book luxury room in Hotel Paradise Las Vegas city view 3 days starting from May 12, 2022.","[{""book_hotel"": {""hotel_name"": [""Hotel Paradise""], ""location"": [""Las Vegas"", ""Las Vegas, NV"", ""LV""], ""room_type"": [""luxury"", ""Luxury""], ""start_date"": [""05-12-2022"", ""2022-05-12"", ""12/05/2022"", ""May.12,2022"", ""May 12, 2022""], ""stay_duration"": [3], ""view"": [""city"", ""city view""]}}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""luxury"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""city view""}, ""name"": ""book_hotel""}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""luxury room"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""city view""}, ""name"": ""book_hotel""}]",book_hotel,book_hotel,value_error:string,"Invalid value for parameter 'room_type': 'luxury room'. Expected one of ['luxury', 'Luxury']. Case insensitive.",,
true_model_failure,missing_or_extra_tool_call,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,parallel_74,parallel_74__telegraphic_request,parallel,"What are the prime factors of the number 4567 and 7890, and can you provide these in a formatted string as well as an array?",prime factors number 4567 and 7890 and provide these in formatted string well array,"[{""get_prime_factors"": {""formatted"": [true], ""number"": [4567]}}, {""get_prime_factors"": {""formatted"": [false], ""number"": [4567]}}, {""get_prime_factors"": {""formatted"": [true], ""number"": [7890]}}, {""get_prime_factors"": {""formatted"": [false], ""number"": [7890]}}]","[{""arguments"": {""formatted"": true, ""number"": 4567}, ""name"": ""get_prime_factors""}, {""arguments"": {""formatted"": false, ""number"": 4567}, ""name"": ""get_prime_factors""}, {""arguments"": {""formatted"": true, ""number"": 7890}, ""name"": ""get_prime_factors""}, {""arguments"": {""formatted"": false, ""number"": 7890}, ""name"": ""get_prime_factors""}]","[{""arguments"": {""formatted"": true, ""number"": 4567}, ""name"": ""get_prime_factors""}, {""arguments"": {""formatted"": false, ""number"": 7890}, ""name"": ""get_prime_factors""}]",get_prime_factors|get_prime_factors|get_prime_factors|get_prime_factors,get_prime_factors|get_prime_factors,parallel_function_checker_no_order:wrong_count,Wrong number of functions.,,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,parallel_89,parallel_89__telegraphic_request,parallel,"Can you provide me with the fastest route from my home in San Francisco to my office in Palo Alto and then a scenic route from Palo Alto to the Golden Gate Bridge in San Francisco, and finally the fastest route back to my home from the Golden Gate Bridge?",provide fastest route from home in San Francisco office in Palo Alto and then scenic route from Palo Alto Golden Gate Bridge in San Francisco and finally fastest route back home from Golden Gate Bridge,"[{""get_directions"": {""end_location"": [""Palo Alto""], ""route_type"": [""fastest""], ""start_location"": [""San Francisco"", ""SF""]}}, {""get_directions"": {""end_location"": [""Golden Gate Bridge in San Francisco"", ""Golden Gate Bridge, San Francisco"", ""Golden Gate Bridge""], ""route_type"": [""scenic""], ""start_location"": [""Palo Alto""]}}, {""get_directions"": {""end_location"": [""San Francisco"", ""SF""], ""route_type"": [""fastest""], ""start_location"": [""Golden Gate Bridge in San Francisco"", ""Golden Gate Bridge, San Francisco"", ""Golden Gate Bridge""]}}]","[{""arguments"": {""end_location"": ""Palo Alto"", ""route_type"": ""fastest"", ""start_location"": ""San Francisco""}, ""name"": ""get_directions""}, {""arguments"": {""end_location"": ""Golden Gate Bridge, San Francisco"", ""route_type"": ""scenic"", ""start_location"": ""Palo Alto""}, ""name"": ""get_directions""}, {""arguments"": {""end_location"": ""San Francisco"", ""route_type"": ""fastest"", ""start_location"": ""Golden Gate Bridge, San Francisco""}, ""name"": ""get_directions""}]","[{""arguments"": {""end_location"": ""office in Palo Alto"", ""route_type"": ""fastest"", ""start_location"": ""home in San Francisco""}, ""name"": ""get_directions""}, {""arguments"": {""end_location"": ""Golden Gate Bridge in San Francisco"", ""route_type"": ""scenic"", ""start_location"": ""Palo Alto""}, ""name"": ""get_directions""}, {""arguments"": {""end_location"": ""home in San Francisco"", ""start_location"": ""Golden Gate Bridge""}, ""name"": ""get_directions""}]",get_directions|get_directions|get_directions,get_directions|get_directions|get_directions,parallel_function_checker_no_order:cannot_find_match,"Could not find a matching function among index [0, 1, 2] of model output for index 0 of possible answers. | {'Model Result Index 0': {'model_output_item': {'get_directions': {'end_location': 'office in Palo Alto', 'route_type': 'fastest', 'start_location': 'home in San Francisco'}}, 'possible_answer_item': {'get_directions': {'end_location': ['Palo Alto'], 'route_type': ['fastest'], 'start_location': ['San Francisco', 'SF']}}, 'sub_error': [""Invalid value for parameter 'end_location': 'office in Palo Alto'. Expected one of ['Palo Alto']. Case insensitive.""], 'sub_error_type': 'value_error:string'}} | {'Model Result Index 1': {'model_output_item': {'get_directions': {'end_location': 'Golden Gate Bridge in San Francisco', 'route_type': 'scenic', 'start_location': 'Palo Alto'}}, 'possible_answer_item': {'get_directions': {'end_location': ['Palo Alto'], 'route_type': ['fastest'], 'start_location': ['San Francisco', 'SF']}}, 'sub_error': [""Invalid value for parameter 'end_location': 'Golden Gate Bridge in San Francisco'. Expected one of ['Palo Alto']. Case insensitive.""], 'sub_error_type': 'value_error:string'}} | {'Model Result Index 2': {'model_output_item': {'get_directions': {'end_location': 'home in San Francisco', 'start_location': 'Golden Gate Bridge'}}, 'possible_answer_item': {'get_directions': {'end_location': ['Palo Alto'], 'route_type': ['fastest'], 'start_location': ['San Francisco', 'SF']}}, 'sub_error': [""Invalid value for parameter 'end_location': 'home in San Francisco'. Expected one of ['Palo Alto']. Case insensitive.""], 'sub_error_type': 'value_error:string'}}",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,parallel_103,parallel_103__telegraphic_request,parallel,"A chemist is conducting an experiment with a 2 kg sample of a specific substance A. The experiment begins with the substance at an initial temperature of 25 degrees Celsius. The chemist then heats the substance to a final temperature of 75 degrees Celsius. The experiment is conducted under a pressure of 1 atmosphere. The chemist repeats the experiment with the same substance, but this time the initial temperature is 10 degrees Celsius and the final temperature is 50 degrees Celsius. Can you calculate the change in entropy for the substance under these set initial and final conditions for both experiments?",A chemist conducting experiment a 2 kg sample a specific substance A. experiment begins substance initial temperature 25 degrees Celsius. chemist then heats substance a final temperature 75 degrees Celsius. experiment conducted under a pressure 1 atmosphere. chemist repeats experiment same substance but this time initial temperature 10 degrees Celsius and final temperature 50 degrees Celsius. calculate change in entropy substance under these set initial and final conditions both experiments,"[{""entropy_change.calculate"": {""final_temperature"": [75], ""initial_temperature"": [25], ""mass"": [2], ""pressure"": [1, """"], ""substance"": [""A""]}}, {""entropy_change.calculate"": {""final_temperature"": [50], ""initial_temperature"": [10], ""mass"": [2], ""pressure"": [1, """"], ""substance"": [""A""]}}]","[{""arguments"": {""final_temperature"": 75, ""initial_temperature"": 25, ""mass"": 2, ""pressure"": 1, ""substance"": ""A""}, ""name"": ""entropy_change.calculate""}, {""arguments"": {""final_temperature"": 50, ""initial_temperature"": 10, ""mass"": 2, ""pressure"": 1, ""substance"": ""A""}, ""name"": ""entropy_change.calculate""}]","[{""arguments"": {""final_temperature"": 75, ""initial_temperature"": 25, ""mass"": 2, ""pressure"": 1, ""substance"": ""substance A""}, ""name"": ""entropy_change.calculate""}, {""arguments"": {""final_temperature"": 50, ""initial_temperature"": 10, ""mass"": 2, ""pressure"": 1, ""substance"": ""substance A""}, ""name"": ""entropy_change.calculate""}]",entropy_change.calculate|entropy_change.calculate,entropy_change.calculate|entropy_change.calculate,parallel_function_checker_no_order:cannot_find_match,"Could not find a matching function among index [0, 1] of model output for index 0 of possible answers. | {'Model Result Index 0': {'model_output_item': {'entropy_change.calculate': {'final_temperature': 75, 'initial_temperature': 25, 'mass': 2, 'pressure': 1, 'substance': 'substance A'}}, 'possible_answer_item': {'entropy_change.calculate': {'final_temperature': [75], 'initial_temperature': [25], 'mass': [2], 'pressure': [1, ''], 'substance': ['A']}}, 'sub_error': [""Invalid value for parameter 'substance': 'substance A'. Expected one of ['A']. Case insensitive.""], 'sub_error_type': 'value_error:string'}} | {'Model Result Index 1': {'model_output_item': {'entropy_change.calculate': {'final_temperature': 50, 'initial_temperature': 10, 'mass': 2, 'pressure': 1, 'substance': 'substance A'}}, 'possible_answer_item': {'entropy_change.calculate': {'final_temperature': [75], 'initial_temperature': [25], 'mass': [2], 'pressure': [1, ''], 'substance': ['A']}}, 'sub_error': [""Invalid value for parameter 'final_temperature': 50. Expected one of [75].""], 'sub_error_type': 'value_error:others'}}",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,parallel_multiple_36,parallel_multiple_36__telegraphic_request,parallel_multiple,Find overview about the Battle of Waterloo and the signing of the Treaty of Tordesillas.,Find overview Battle of Waterloo and signing Treaty of Tordesillas.,"[{""euro_history.battle_details"": {""battle_name"": [""Battle of Waterloo"", ""Waterloo""], ""specific_info"": [[""overview""]]}}, {""euro_history.treaty_info"": {""info_requested"": [[""overview""]], ""treaty_name"": [""Treaty of Tordesillas"", ""Tordesillas""]}}]","[{""arguments"": {""battle_name"": ""Battle of Waterloo"", ""specific_info"": [""overview""]}, ""name"": ""euro_history.battle_details""}, {""arguments"": {""info_requested"": [""overview""], ""treaty_name"": ""Treaty of Tordesillas""}, ""name"": ""euro_history.treaty_info""}]","[{""arguments"": {""battle_name"": ""Battle of Waterloo"", ""specific_info"": [""overview""]}, ""name"": ""euro_history.battle_details""}, {""arguments"": {""info_requested"": [""overview"", ""ratification date""], ""treaty_name"": ""Treaty of Tordesillas""}, ""name"": ""euro_history.treaty_info""}]",euro_history.battle_details|euro_history.treaty_info,euro_history.battle_details|euro_history.treaty_info,parallel_function_checker_no_order:cannot_find_match,"Could not find a matching function among index [1] of model output for index 1 of possible answers. | {'Model Result Index 1': {'model_output_item': {'euro_history.treaty_info': {'info_requested': ['overview', 'ratification date'], 'treaty_name': 'Treaty of Tordesillas'}}, 'possible_answer_item': {'euro_history.treaty_info': {'info_requested': [['overview']], 'treaty_name': ['Treaty of Tordesillas', 'Tordesillas']}}, 'sub_error': [""Invalid value for parameter 'info_requested': ['overview', 'ratification date']. Expected one of [['overview']].""], 'sub_error_type': 'value_error:list/tuple'}}",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_36-13-0,live_simple_36-13-0__telegraphic_request,live_simple,"Sure, here is the answer to the question:\n\nThe text does not define logistic regression, therefore I cannot answer this question.",Sure here answer question \n\nThe text not define logistic regression therefore cannot answer this question.,"[{""parseAnswer"": {""answer"": [""The text does not define logistic regression, therefore I cannot answer this question.""]}}]","[{""arguments"": {""answer"": ""The text does not define logistic regression, therefore I cannot answer this question.""}, ""name"": ""parseAnswer""}]","[{""arguments"": {""answer"": ""The text not define logistic regression therefore cannot answer this question.""}, ""name"": ""parseAnswer""}]",parseAnswer,parseAnswer,value_error:string,"Invalid value for parameter 'answer': 'The text not define logistic regression therefore cannot answer this question.'. Expected one of ['The text does not define logistic regression, therefore I cannot answer this question.']. Case insensitive.",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_37-14-0,live_simple_37-14-0__telegraphic_request,live_simple,"Sure, here is the answer to the question:\n\nThe text does not define logistic regression, therefore I cannot answer this question.",Sure here answer question \n\nThe text not define logistic regression therefore cannot answer this question.,"[{""parseAnswer"": {""answer"": [""The text does not define logistic regression, therefore I cannot answer this question.""]}}]","[{""arguments"": {""answer"": ""The text does not define logistic regression, therefore I cannot answer this question.""}, ""name"": ""parseAnswer""}]","[{""arguments"": {""answer"": ""The text not define logistic regression therefore cannot answer this question.""}, ""name"": ""parseAnswer""}]",parseAnswer,parseAnswer,value_error:string,"Invalid value for parameter 'answer': 'The text not define logistic regression therefore cannot answer this question.'. Expected one of ['The text does not define logistic regression, therefore I cannot answer this question.']. Case insensitive.",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_70-34-0,live_simple_70-34-0__telegraphic_request,live_simple,"Can you retrieve the list of today's alerts for the sensor with serial number Q3CC-CRT3-SZ2G, showing a maximum of 10 alerts per page?",retrieve list today's alerts sensor serial number Q3CC-CRT3-SZ2G showing maximum 10 alerts per page,"[{""get_sensor_alerts"": {""endingBefore"": ["""", null], ""networkId"": ["""", []], ""perPage"": [10], ""sensorSerial"": [""Q3CC-CRT3-SZ2G""], ""startingAfter"": ["""", null], ""t0"": ["""", null], ""t1"": [""""], ""timespan"": [""""], ""triggerMetric"": ["""", null]}}]","[{""arguments"": {""perPage"": 10, ""sensorSerial"": ""Q3CC-CRT3-SZ2G""}, ""name"": ""get_sensor_alerts""}]","[{""arguments"": {""perPage"": 10, ""sensorSerial"": ""Q3CC-CRT3-SZ2G"", ""t0"": ""2024-12-19"", ""t1"": ""2024-12-19""}, ""name"": ""get_sensor_alerts""}]",get_sensor_alerts,get_sensor_alerts,value_error:others,"Invalid value for parameter 't0': '2024-12-19'. Expected one of ['', None].",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_82-43-0,live_simple_82-43-0__telegraphic_request,live_simple,I need to add a news article titled 'Julian is testing' to our Sitefinity CMS. Could you help with that?,add news article titled 'Julian is testing' our Sitefinity CMS. help that,"[{""sitefinity_create_contentitem"": {""Content"": ["""", null], ""ContentItem"": [""News""], ""MetaDescription"": ["""", null], ""MetaTitle"": ["""", null], ""Title"": [""Julian is testing""], ""UrlName"": ["""", null]}}]","[{""arguments"": {""ContentItem"": ""News"", ""Title"": ""Julian is testing""}, ""name"": ""sitefinity_create_contentitem""}]","[{""arguments"": {""Content"": ""Julian is testing our Sitefinity CMS."", ""ContentItem"": ""News"", ""Title"": ""Julian is testing"", ""UrlName"": ""julian-is-testing""}, ""name"": ""sitefinity_create_contentitem""}]",sitefinity_create_contentitem,sitefinity_create_contentitem,value_error:others,"Invalid value for parameter 'Content': 'Julian is testing our Sitefinity CMS.'. Expected one of ['', None].",,
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_88-49-0,live_simple_88-49-0__telegraphic_request,live_simple,I just enjoyed a large cup of chai tea with half and half for my morning snack. Could you record that I drank 16 ounces of chai tea as a snack?,just enjoyed large cup chai tea half and half morning snack. record that drank 16 ounces chai tea snack,"[{""log_food"": {""food_name"": [""chai tea""], ""meal_name"": [""snack""], ""portion_amount"": [16.0], ""portion_unit"": [""ounces""]}}]","[{""arguments"": {""food_name"": ""chai tea"", ""meal_name"": ""snack"", ""portion_amount"": 16, ""portion_unit"": ""ounces""}, ""name"": ""log_food""}]","[{""arguments"": {""food_name"": ""chai tea with half and half"", ""meal_name"": ""snack"", ""portion_amount"": 16, ""portion_unit"": ""ounces""}, ""name"": ""log_food""}]",log_food,log_food,value_error:string,Invalid value for parameter 'food_name': 'chai tea with half and half'. Expected one of ['chai tea']. Case insensitive.,,
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_98-58-0,live_simple_98-58-0__telegraphic_request,live_simple,Can you tell me the current weather in Chennai? I believe the latitude is around 13.0827 and the longitude is approximately 80.2707.,tell current weather in Chennai believe latitude around 13.0827 and longitude approximately 80.2707.,"[{""get_weather_by_coordinates"": {""city"": [""Chennai""], ""lat"": [13.0827], ""lon"": [80.2707]}}]","[{""arguments"": {""city"": ""Chennai"", ""lat"": 13.0827, ""lon"": 80.2707}, ""name"": ""get_weather_by_coordinates""}]","[{""arguments"": {""city"": ""Chennai, India"", ""lat"": 13.0827, ""lon"": 80.2707}, ""name"": ""get_weather_by_coordinates""}]",get_weather_by_coordinates,get_weather_by_coordinates,value_error:string,"Invalid value for parameter 'city': 'Chennai, India'. Expected one of ['Chennai']. Case insensitive.",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_105-62-0,live_simple_105-62-0__telegraphic_request,live_simple,classify these sentences\nlink my account\nconnect my accounts\nhello,classify these sentences\nlink account\nconnect accounts\nhello,"[{""classify"": {""clean_hello"": [[""hello""]], ""faq_link_accounts_start"": [[""link my account"", ""connect my accounts""]]}}]","[{""arguments"": {""clean_hello"": [""hello""], ""faq_link_accounts_start"": [""link my account"", ""connect my accounts""]}, ""name"": ""classify""}]","[{""arguments"": {""clean_hello"": [""hello""], ""faq_link_accounts_start"": [""link account"", ""connect accounts""]}, ""name"": ""classify""}]",classify,classify,value_error:list/tuple,"Invalid value for parameter 'faq_link_accounts_start': ['link account', 'connect accounts']. Expected one of [['link my account', 'connect my accounts']].",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_157-95-14,live_simple_157-95-14__telegraphic_request,live_simple,"what is the time in pc, using the command echo %time%",time in pc command echo %time%,"[{""cmd_controller.execute"": {""command"": [""echo %time%""], ""unit"": ["""", ""N/A""]}}]","[{""arguments"": {""command"": ""echo %time%""}, ""name"": ""cmd_controller.execute""}]","[{""arguments"": {""command"": ""echo %time%"", ""unit"": ""milliseconds""}, ""name"": ""cmd_controller.execute""}]",cmd_controller.execute,cmd_controller.execute,value_error:string,"Invalid value for parameter 'unit': 'milliseconds'. Expected one of ['', 'N/A']. Case insensitive.",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,live_simple_159-95-16,live_simple_159-95-16__telegraphic_request,live_simple,set a timer for 10 seconds using the timeout command. You should use timeout 10.,set timer 10 seconds timeout command. should use timeout 10.,"[{""cmd_controller.execute"": {""command"": [""timeout 10""], ""unit"": ["""", ""N/A""]}}]","[{""arguments"": {""command"": ""timeout 10""}, ""name"": ""cmd_controller.execute""}]","[{""arguments"": {""command"": ""timeout 10"", ""unit"": ""seconds""}, ""name"": ""cmd_controller.execute""}]",cmd_controller.execute,cmd_controller.execute,value_error:string,"Invalid value for parameter 'unit': 'seconds'. Expected one of ['', 'N/A']. Case insensitive.",,
